wholepath,ctxID,centerlon,centerlat,areakm2,hits,hitratio,RegistrationScore,review_status
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\D02_028030_1842_XI_04N174W_D21_035335_1866_XN_06N174W,D02_028030_1842_XI_04N174W_D21_035335_1866_XN_06N174W,314648.2601,252879.8186,112.8842203,19,0.168314047,0.477020979,done
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B20_017428_2239_XN_43N176W_D22_035981_2253_XN_45N176W,B20_017428_2239_XN_43N176W_D22_035981_2253_XN_45N176W,229026.8718,2640511.691,155.1699294,5,0.032222738,0.476918101,done
G:\crater_flux_output_folders\output_130_140_-75_0\J08_048036_1454_XN_34S227W_J11_049249_1473_XI_32S227W,J08_048036_1454_XN_34S227W_J11_049249_1473_XI_32S227W,-2816301.607,-2031719.245,854.730981,10,0.011699588,0.476840466,
G:\crater_flux_output_folders\Impact_flux_project\output_80_90_0_75\D16_033624_2385_XN_58N270W_F17_042512_2385_XN_58N270W,D16_033624_2385_XN_58N270W_F17_042512_2385_XN_58N270W,-5356650.052,3452368.443,1219.715425,0,0,0.476804614,
G:\crater_flux_output_folders\Impact_flux_project\output_80_90_0_75\G20_026187_2408_XI_60N270W_D01_027598_2408_XN_60N270W,G20_026187_2408_XI_60N270W_D01_027598_2408_XN_60N270W,-5369650.541,3588491.273,2472.280144,5,0.002022425,0.476802975,done
G:\crater_flux_output_folders\output_0_10_0_75\F01_036291_2144_XN_34N356W_F04_037214_2159_XN_35N357W,F01_036291_2144_XN_34N356W_F04_037214_2159_XN_35N357W,-10481371.75,2028676.84,1244.845346,10,0.008033126,0.476780832,done
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_-75_0\P17_007829_1571_XN_22S177W_F23_044698_1603_XN_19S177W,P17_007829_1571_XN_22S177W_F23_044698_1603_XN_19S177W,147740.6388,-1202100.022,83.67983362,1,0.011950311,0.476684928,done
G:\crater_flux_output_folders\output_0_10_-25_-0.01\G01_018661_1678_XI_12S352W_F03_037069_1653_XN_14S351W,G01_018661_1678_XI_12S352W_F03_037069_1653_XN_14S351W,-10188489.96,-814803.6001,170.0878081,1,0.005879316,0.476638645,done
G:\crater_flux_output_folders\output_-110_-100_30_60\P21_009250_2295_XN_49N108W_G23_027091_2325_XN_52N109W,P21_009250_2295_XN_49N108W_G23_027091_2325_XN_52N109W,4208010.752,2998321.604,192.8330959,5,0.025929159,0.476600438,done
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\D15_033001_2288_XN_48N177W_D15_032935_2288_XN_48N177W,D15_033001_2288_XN_48N177W_D15_032935_2288_XN_48N177W,178250.3398,2878941.67,1871.040564,19,0.010154777,0.476589054,done
G:\crater_flux_output_folders\output_130_140_-75_0\B07_012551_1751_XN_04S222W_J08_047772_1752_XN_04S222W,B07_012551_1751_XN_04S222W_J08_047772_1752_XN_04S222W,-2531886.99,-285580.3091,751.035447,18,0.023966911,0.476581752,
G:\crater_flux_output_folders\output_80_90_-50_-25\P02_001754_1519_XI_28S276W_J04_046350_1492_XN_30S276W,P02_001754_1519_XI_28S276W_J04_046350_1492_XN_30S276W,-5706256.781,-1660223.796,77.48888704,0,0,0.476569384,
G:\crater_flux_output_folders\output_130_140_-75_0\G02_018999_1746_XN_05S221W_G22_026858_1706_XI_09S221W,G02_018999_1746_XN_05S221W_G22_026858_1706_XI_09S221W,-2466698.909,-397527.4314,61.7006893,4,0.064829097,0.476535529,done
G:\crater_flux_output_folders\output_130_140_-75_0\P18_007976_1434_XN_36S228W_B16_015993_1463_XN_33S228W,P18_007976_1434_XN_36S228W_B16_015993_1463_XN_33S228W,-2896401.367,-2039348.338,1022.591432,16,0.015646523,0.476508796,
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\G19_025656_2264_XN_46N171W_D02_028056_2263_XN_46N171W,G19_025656_2264_XN_46N171W_D02_028056_2263_XN_46N171W,513868.6777,2730336.807,877.3687436,10,0.011397716,0.476495385,done
G:\crater_flux_output_folders\Impact_flux_project\output_80_90_0_75\B18_016667_2053_XN_25N276W_B19_017234_2047_XN_24N276W,B18_016667_2053_XN_25N276W_B19_017234_2047_XN_24N276W,-5730739.387,1469509.51,51.5007958,2,0.038834351,0.476445466,done
G:\crater_flux_output_folders\output_-110_-100_-30_0\J05_046858_1539_XN_26S104W_J07_047570_1518_XN_28S104W,J05_046858_1539_XN_26S104W_J07_047570_1518_XN_28S104W,4480513.384,-1604169.894,230.3883246,3,0.013021493,0.476357222,done
