wholepath,ctxID,centerlon,centerlat,areakm2,hits,hitratio,RegistrationScore
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_G07_020843_2242_XI_44N171W,B01_009938_2256_XI_45N170W_G07_020843_2242_XI_44N171W,529973.89888,2660960.7696,819.777701443339,0,0,0.00881446525454521
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_G14_023889_2242_XN_44N171W,B01_009938_2256_XI_45N170W_G14_023889_2242_XN_44N171W,531005.47824,2662738.21392,1440.9146062897,0,0,0.00823272950947285
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_G16_024522_2264_XN_46N171W,B01_009938_2256_XI_45N170W_G16_024522_2264_XN_46N171W,518680.66128,2738428.46976,440.074612899546,28,0.0636255743441203,0.303588807582855
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_G16_024667_2241_XN_44N171W,B01_009938_2256_XI_45N170W_G16_024667_2241_XN_44N171W,532412.9976,2660070.54368,1731.65418649839,0,0,0.0149805480614305
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_G17_025023_2252_XN_45N170W,B01_009938_2256_XI_45N170W_G17_025023_2252_XN_45N170W,560545.33968,2663285.58256,622.427398275163,18,0.0289190354567949,0.414416253566742
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_G18_025445_2242_XI_44N171W,B01_009938_2256_XI_45N170W_G18_025445_2242_XI_44N171W,529673.14688,2659180.31776,780.226979543297,0,0,0.00938197039067745
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_G19_025656_2264_XN_46N171W,B01_009938_2256_XI_45N170W_G19_025656_2264_XN_46N171W,527540.8152,2736254.0328,1133.81953784258,101,0.0890794316282307,0.418256670236588
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_G20_025933_2264_XN_46N171W,B01_009938_2256_XI_45N170W_G20_025933_2264_XN_46N171W,528422.01856,2736235.98768,1240.37501005056,0,0,0.0406101942062378
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_G20_026012_2242_XN_44N171W,B01_009938_2256_XI_45N170W_G20_026012_2242_XN_44N171W,533179.9152,2660368.28816,1742.88623347373,0,0,0.00427429238334298
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_G21_026368_2281_XN_48N170W,B01_009938_2256_XI_45N170W_G21_026368_2281_XN_48N170W,544419.01744,2802389.3976,10.0565720115589,0,0,0.463715761899948
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_G22_026790_2242_XI_44N171W,B01_009938_2256_XI_45N170W_G22_026790_2242_XI_44N171W,530067.132,2660070.54368,710.113800042759,0,0,0.00967368856072426
