impact_id,lon,lat,category,n_ctx,ProductId,UTCstart
28,-109.213,-13.995,junk,37,B17_016305_1653_XI_14S109W,2010-01-17T23:49:17.175
28,-109.213,-13.995,junk,37,B18_016727_1658_XI_14S109W,2010-02-19T20:58:47.069
28,-109.213,-13.995,junk,37,B19_017083_1652_XN_14S109W,2010-03-19T14:44:32.316
28,-109.213,-13.995,junk,37,B21_017650_1653_XI_14S109W,2010-05-02T19:07:48.819
28,-109.213,-13.995,junk,37,B21_018006_1653_XN_14S109W,2010-05-30T12:54:19.008
28,-109.213,-13.995,junk,37,G02_019140_1652_XI_14S109W,2010-08-26T21:37:52.594
28,-109.213,-13.995,junk,37,G06_020485_1652_XN_14S109W,2010-12-09T16:54:17.490
28,-109.213,-13.995,junk,37,G16_024520_1652_XI_14S109W,2011-10-20T02:48:07.234
28,-109.213,-13.995,junk,37,G17_024876_1653_XI_14S109W,2011-11-16T20:36:32.942
28,-109.213,-13.995,junk,37,G18_025232_1652_XI_14S109W,2011-12-14T14:22:24.896
28,-109.213,-13.995,junk,37,D15_033012_1652_XI_14S109W,2013-08-11T19:45:58.623
28,-109.213,-13.995,junk,37,D16_033368_1652_XI_14S109W,2013-09-08T13:34:54.357
28,-109.213,-13.995,junk,37,D17_033724_1652_XI_14S109W,2013-10-06T07:21:33.262
28,-109.213,-13.995,junk,37,D20_034858_1652_XN_14S109W,2014-01-02T16:08:13.514
28,-109.213,-13.995,junk,37,D20_035214_1652_XI_14S108W,2014-01-30T09:55:50.742
28,-109.213,-13.995,junk,37,F03_036981_1652_XN_14S109W,2014-06-17T02:24:31.031
28,-109.213,-13.995,junk,37,F07_038590_1652_XN_14S109W,2014-10-20T10:55:57.539
28,-109.213,-13.995,junk,37,F10_039566_1634_XN_16S108W,2015-01-04T11:44:08.113
28,-109.213,-13.995,junk,37,F12_040344_1652_XN_14S109W,2015-03-06T02:39:32.222
28,-109.213,-13.995,junk,37,F13_040911_1653_XI_14S109W,2015-04-19T07:00:40.264
